sample,Cmon_PlotID,Bodemlocatie,Diepte,Datum_staalname,Staalnemer,c_LB72X,c_LB72Y,mv_mTAW,Cmon_GRTS_Rank,CmonLU19,CmonLUtext,Bermen,Landgebruik_Cmon,Vegetatie_bij_staalname,Landcover_EUNIS,Landgebruik_MBAG,MBAG_eDNA_staal,MBAG_Nematoden_staal,LOQ_TIC,TIC_percent,LOQ_TOC,TOC,LOQ_N,TN,pH_KCl,BD,C_stock,Cdensity,N_stock,Ndensity,C_N_stockbased,SWCgrav,SWCvol,Textuur_kleifractie,Textuur_leemfractie,Textuur_Zandfractie,Bodemtoestand,Weer_bij_staalname,Weersomstandigheid,Bodemtype,UniBodemtype,Bodemserie,Bodembeschrijving_Belgisch,Textuurklasse,Drainageklasse,Profielontwikkeling,Bodemstreek,WRB_soil_unit,RSG,rsg_pq_cod,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morph,sq_fertility,Bodemassociatie,mycorrhiza_total_rich,patho_rich,n_fixers_rich,bd_0_10,cstock_sum,18S_universal_nematoda_observed,18S_nema_edna_Nematoda_observed,18S_nema_extract_Nematoda_observed,18S_universal_annelida_observed,InseKP_annelida_observed,InseKP_annelida_bold_observed,18S_nema_edna_Nematoda_total_count,18S_nema_extract_Nematoda_total_count,18S_universal_nematoda_total_count,InseKP_annelida_total_count,InseKP_annelida_bold_total_count
p4811720_0_10,P4811720,CMON_P4811720,0-10,2022-03-30,INBO,64075,212125,1.07,356,3,grasland,0,Natuur,gras_ riet_ pitrus,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,6.22,NA,0.505,4.7,0.93,58.11,5.81,4.72,0.47,12.32,56.1,52.2,12.54,12.69,74.77,Normaal,Bewolkt,Geen neerslag in afgelopen week,o.M2,l-Vfp(o),Vfp,Gronden van de lage Moeren (Oudlandpolders),V,f,p,Oudlandpolders,Fluvic Gleyic Phaeozems (Clayic_ Fluvic_ Relocatic_ Ruptic),Phaeozems,PH-gl.fv,Gleyic,Fluvic,NA,Endogleyic,Clayic,Fluvic_ Relocatic_ Ruptic,Eutric,Kustvlakte_ Oudland,1.107911623,0.08201219574,-0.7687272605,1.238975747,1.493407677,8,NA,52,2,26,47,0,8211,211,502676,560218
p4811720_10_30,P4811720,CMON_P4811720,45960,2022-03-30,INBO,64075,212125,1.07,356,3,grasland,0,Natuur,gras_ riet_ pitrus,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,3.13,NA,0.233,5.1,1.28,79.97,4,5.95,0.3,13.43,33.6,43,8.52,10.83,80.65,Normaal,Bewolkt,Geen neerslag in afgelopen week,o.M2,l-Vfp(o),Vfp,Gronden van de lage Moeren (Oudlandpolders),V,f,p,Oudlandpolders,Fluvic Gleyic Phaeozems (Clayic_ Fluvic_ Relocatic_ Ruptic),Phaeozems,PH-gl.fv,Gleyic,Fluvic,NA,Endogleyic,Clayic,Fluvic_ Relocatic_ Ruptic,Eutric,Kustvlakte_ Oudland,1.107911623,0.08201219574,-0.7687272605,1.238975747,1.493407677,16,NA,NA,9,15,20,NA,NA,1115,99949,130799
pb3e27ce_0_10,Pb3e27ce,CMON_Pb3e27ce,0-10,2022-02-09,ILVO,211415,164405,86.59,1774,4,Akkerland,0,Akker,Braak,V1 (Arable land and market gardens),Akker,1,1,NA,0.01,NA,1.17,NA,0.118,6.7,1.45,16.88,1.69,1.72,0.17,9.81,25.9,37.6,25.33,66.58,8.09,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Aba0,Aba0,Aba,Droge leembodem met textuur B horizont,A,b,a,Leemstreek,Haplic Luvisols (Siltic),Luvisols,LV-ha,Haplic,NA,NA,NA,Siltic,NA,Eutric,Plateau van Haspengouw,-0.2760838519,-1.301569464,NA,-0.9026926261,-0.671329398,14,NA,NA,1,3,8,NA,NA,2113,509436,3098331
p5de602c_0_10,P5de602c,CMON_P5de602c,0-10,2022-11-18,INBO,145635,202465,1.39,18851,2,Natuur,0,Natuur,Riet_ gras_ brandnetel,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,5.2,NA,0.457,5.2,0.724,37.687,3.77,3.31,0.33,11.38,75.5,54.7,19.06,34.33,46.61,Waterverzadigd,Buien (wisselvallig),Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,sPep,sPep,Pep,Natte licht zandleembodem zonder profiel,P,e,p,Zandstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Fluvic_ Ruptic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Fluvic_ Ruptic,Eutric,Westelijke Boomse cuesta,-0.3529724895,-0.915453652,NA,2.08740591,0.7331340514,51,NA,NA,13,24,37,NA,NA,7254,963103,1103985
p49503c7_0_10,P49503c7,CMON_P49503c7,0-10,2023-04-14,ILVO,93345,211575,5.23,4132,4,Akkerland,0,Tijdelijk grasland,gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,2.08,NA,0.146,5.2,1.39,28.86,2.89,2.03,0.2,14.22,25.8,35.9,5.27,12.92,81.81,NA,NA,NA,Zcg,Zcg,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Zandstreek,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Centrale Vlaamse laagvlakte,-0.3529724895,-0.7867483814,1.85988502,-0.6555770447,0.07968100071,33,NA,NA,2,5,7,NA,NA,8380,320725,323930
p49503c7_10_30,P49503c7,CMON_P49503c7,45960,2023-04-14,ILVO,93345,211575,5.23,4132,4,Akkerland,0,Tijdelijk grasland,gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.88,NA,0.128,5.1,1.43,53.82,2.69,3.66,0.18,14.7,24.5,35,5.57,11.45,82.98,NA,NA,NA,Zcg,Zcg,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Zandstreek,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Centrale Vlaamse laagvlakte,-0.3529724895,-0.7867483814,1.85988502,-0.6555770447,0.07968100071,58,NA,NA,7,5,16,NA,NA,7317,1035427,1070966
p4c4cf00_0_10,P4c4cf00,CMON_P4c4cf00,0-10,2023-02-13,ILVO,147355,210255,10.73,2723,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.94,NA,0.143,5.7,1.42,27.64,2.76,2.04,0.2,13.55,28.6,40.5,9.2,31.04,59.76,NA,NA,NA,ScP,ScP,ScP,Matig droge lemig zandbodem zonder profiel of met onbepaald profiel,S,c,p+x,Zandstreek,Terric Cambisols (Loamic),Cambisols,CM-tr,Terric,NA,NA,NA,Loamic,NA,Eutric,Westelijke Boomse cuesta,-0.429861127,-1.301569464,-0.2430048044,-0.7791348354,0.0684528466,34,NA,NA,3,10,17,NA,NA,3167,999955,2293667
p4c4cf00_10_30,P4c4cf00,CMON_P4c4cf00,45960,2023-02-13,ILVO,147355,210255,10.73,2723,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.92,NA,0.145,5.7,1.42,54.6,2.73,4.12,0.21,13.25,25.9,36.8,10.07,31.05,58.88,NA,NA,NA,ScP,ScP,ScP,Matig droge lemig zandbodem zonder profiel of met onbepaald profiel,S,c,p+x,Zandstreek,Terric Cambisols (Loamic),Cambisols,CM-tr,Terric,NA,NA,NA,Loamic,NA,Eutric,Westelijke Boomse cuesta,-0.429861127,-1.301569464,-0.2430048044,-0.7791348354,0.0684528466,3,NA,NA,0,3,7,NA,NA,14,66395,78816
p4d89507_0_10,P4d89507,CMON_P4d89507,0-10,2022-11-30,ILVO,77745,209705,9.46,1124,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,NA,0.38,NA,3.8,NA,0.241,7.4,1.46,49.84,4.98,3.51,0.35,14.2,21.8,31.8,9.56,18.2,72.24,Normaal,Bewolkt,Geen neerslag in de afgelopen 24 uur,Zdh(k),Zdh(k),Zdh,Matig natte zandbodem met verbrokkelde ijzer en/of humus B horizont,Z,d,h,Zandstreek,Terric Anthrosols (Arenic_ Spodi-relocatic),Anthrosols,AT-tr,Terric,NA,NA,Endogleyic,Arenic,Spodi-relocatic,Eutric,Centrale Vlaamse laagvlakte,-0.1223065769,0.1141885134,-0.7687272605,-0.9438785564,0.9184751498,24,86,115,2,9,14,77303,77718,1712,1307165,1353712
p4d89507_10_30,P4d89507,CMON_P4d89507,45960,2022-11-30,ILVO,77745,209705,9.46,1124,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,NA,0.34,NA,2.5,NA,0.149,7.6,1.52,65.71,3.29,4.53,0.23,14.51,17.3,26.3,8.72,19.22,72.06,Normaal,Bewolkt,Geen neerslag in de afgelopen 24 uur,Zdh(k),Zdh(k),Zdh,Matig natte zandbodem met verbrokkelde ijzer en/of humus B horizont,Z,d,h,Zandstreek,Terric Anthrosols (Arenic_ Spodi-relocatic),Anthrosols,AT-tr,Terric,NA,NA,Endogleyic,Arenic,Spodi-relocatic,Eutric,Centrale Vlaamse laagvlakte,-0.1223065769,0.1141885134,-0.7687272605,-0.9438785564,0.9184751498,10,NA,NA,1,6,15,NA,NA,167,118,564822
p4dc98f0_0_10,P4dc98f0,CMON_P4dc98f0,0-10,2022-12-07,ILVO,103515,209595,8.34,628,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,4.36,NA,0.362,4.2,1.34,58.52,5.85,4.86,0.49,12.04,19.6,26.3,3.7,5.91,90.39,Normaal,Buien (wisselvallig),Neerslag maar zonder hevige buien afgelopen 24 uur,Zcg,Zcg,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Zandstreek,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Centrale Vlaamse laagvlakte,3.799013937,0.7577148668,-0.7687272605,-0.4496473934,0.800069161,12,72,90,1,8,16,22572,24255,200,78237,122592
p4dc98f0_10_30,P4dc98f0,CMON_P4dc98f0,45960,2022-12-07,ILVO,103515,209595,8.34,628,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,1.89,NA,0.138,3.8,1.39,52.39,2.62,3.83,0.19,13.68,11.4,15.8,3.93,7.36,88.71,Normaal,Buien (wisselvallig),Neerslag maar zonder hevige buien afgelopen 24 uur,Zcg,Zcg,Zcg,Matig droge zandbodem met duidelijke ijzer en/of humus B horizont,Z,c,g,Zandstreek,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Centrale Vlaamse laagvlakte,3.799013937,0.7577148668,-0.7687272605,-0.4496473934,0.800069161,5,NA,NA,5,19,43,NA,NA,293,1533866,1994592
p4e49690_0_10,P4e49690,CMON_P4e49690,0-10,2023-01-26,ILVO,128955,209375,6.75,1204,4,Akkerland,0,Tijdelijk grasland,gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.65,NA,0.141,6,1.38,22.7,2.27,1.94,0.19,11.7,30.2,41.7,7.67,12.26,80.07,NA,NA,NA,Zcm(g),Zcm(g),Zcm,Matig droge zandbodem met dikke antropogene humus A horizont,Z,c,m,Zandstreek,Terric Anthrosols (Arenic),Anthrosols,AT-tr,Terric,NA,NA,NA,Arenic,NA,Eutric,Westelijke Boomse cuesta,-0.7374156771,-0.6580431107,0.1512870377,-0.6143911144,-0.2972277179,14,39,121,2,4,13,7793,60936,359,10434,145470
p4e49690_10_30,P4e49690,CMON_P4e49690,45960,2023-01-26,ILVO,128955,209375,6.75,1204,4,Akkerland,0,Tijdelijk grasland,gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.65,NA,0.143,6.2,1.37,45.21,2.26,3.92,0.2,11.53,29.6,40.6,7.71,12.81,79.48,NA,NA,NA,Zcm(g),Zcm(g),Zcm,Matig droge zandbodem met dikke antropogene humus A horizont,Z,c,m,Zandstreek,Terric Anthrosols (Arenic),Anthrosols,AT-tr,Terric,NA,NA,NA,Arenic,NA,Eutric,Westelijke Boomse cuesta,-0.7374156771,-0.6580431107,0.1512870377,-0.6143911144,-0.2972277179,16,NA,NA,0,4,8,NA,NA,886,9,32466
p3e02017_10_30,P3e02017,CMON_P3e02017,45960,2023-04-06,INBO,222545,216585,37.46,46411,2,Natuur,0,Natuur,Pijpenstrootje_ mos,R3 (Seasonally wet and wet grasslands),Heide,1,1,LT,0.01,NA,2.02,NA,0.086,3.9,1.19,48.1,2.41,2.05,0.1,23.49,23.8,28.3,2.7,5.41,91.89,Normaal,Buien (wisselvallig),Geen neerslag in afgelopen week,ZAg,ZAg,ZAg,Zeer droge tot matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,a-d,g,Kempen,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Maasterrassen,1.646132086,0.9829490905,NA,1.77439284,-0.03157979911,18,NA,NA,1,10,10,NA,NA,607,627892,627892
p50d3b32_10_30,P50d3b32,CMON_P50d3b32,45960,2022-11-03,ILVO,234255,208255,41.98,75,3,grasland,0,Blijvend grasland,gras,R1 (Dry grasslands),Blijvend grasland,1,1,LT,0.01,NA,1.26,NA,0.111,5.1,1.47,37.07,1.85,3.27,0.16,11.34,9.1,13.4,5.63,15.3,79.07,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,t-Zcf,t-Zcf,Zcf,Matig droge zandbodem met weinig duidelijke ijzer en/of humus B horizont,Z,c,f,Kempen,Dystric Brunic Arenosols (Ruptic),Arenosols,AR-br.dy,Brunic,Dystric,NA,NA,Arenic,Ruptic,Dystric,Maasterrassen,0.1852479732,-0.9798062874,NA,-1.149808208,-0.4702433653,11,NA,NA,1,5,8,NA,NA,334,8128,26630
p3c02082_0_10,P3c02082,CMON_P3c02082,0-10,2022-03-08,ILVO,97535,217465,3.36,3108,4,Akkerland,1,Akker,grasland,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,2.48,NA,0.218,5.8,1.41,34.9,3.49,3.07,0.31,11.37,28.1,39.6,28.83,49.67,21.5,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,OB,OB,OB,Bebouwde zones,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,NA,NA,NA,NA,NA,NA,NA,Urban / Not mapped,-0.6605270395,-0.336279934,NA,-0.7379489051,0.07917063007,14,61,109,2,14,36,20048,37042,761,1717494,2118836
p21327a1_10_30,P21327a1,CMON_P21327a1,45960,2023-03-24,INBO,142885,229335,8.89,45411,2,Natuur,0,Natuur,gras_ kruidachtigen,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,NA,0.23,NA,0.62,NA,0.029,8.01,1.52,11.85,0.59,0.88,0.04,13.45,7.3,11.1,3.92,6.08,90,Normaal,Bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Uep,Uep,Uep,Sterk gleyige zware kleibodem zonder profiel,U,e,p,Doel,Eutric Fluvic Gleyic Cambisols (Clayic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Clayic,Fluvic,Eutric,Urban / Not mapped,0.3390252482,0.5003043254,NA,-0.2849036725,-1.347570498,12,NA,NA,0,1,3,NA,NA,2845,2522,2664
p89b4582_0_10,P89b4582,CMON_P89b4582,0-10,2023-03-16,ILVO,174415,183075,11.31,3470,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.31,NA,0.115,6.8,1.43,18.72,1.87,1.64,0.16,11.41,27.8,39.8,8.08,16.74,75.18,NA,NA,NA,wSdm,wSdm,Sdm,Matig natte lemig zandbodem met dikke antropogene humus A horizont,S,d,m,Zandstreek,Terric Anthrosols (Loamic_ Abruptic),Anthrosols,AT-tr,Terric,NA,NA,Endogleyic,Loamic,Abruptic,Eutric,Oostelijke Vlaamse laagvlakte,-0.429861127,-2.04162477,NA,-0.8203207656,-0.7330842456,21,NA,NA,2,10,37,NA,NA,1048,706196,861121
p7bcaf48_0_10,P7bcaf48,CMON_P7bcaf48,0-10,2023-03-21,INBO,217995,189235,39.83,42670,2,Natuur,0,Natuur,grassen_ kruiden,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,3.21,NA,0.239,3.9,1.2,38.63,3.86,2.88,0.29,13.43,19.3,23.2,3.85,5.87,90.28,Normaal,Buien (wisselvallig),Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Zdg,Zdg,Zdg,Matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,d,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Arenic,NA,Dystric,Heuvelland van Lummen,NA,NA,NA,0.12695563,-0.2206721217,14,NA,NA,4,23,30,NA,NA,241,207423,278957
p53446e5_0_10,P53446e5,CMON_P53446e5,0-10,2023-05-26,INBO,240205,207175,34.73,14411,2,Natuur,0,Natuur,grassen_ pitrus_ veldzuring_ haarmos,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,1.31,NA,0.099,4,1.4,18.34,1.83,1.386,0.14,13.23,20.1,28.1,6.2,21.01,72.79,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,t-Pec,t-Pec,Pec,Natte licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,e,c,Kempen,Dystric Gleyic Retisols (Loamic_ Ruptic),Retisols,RT-gl.dy,Gleyic,Dystric,NA,Endogleyic,Loamic,Ruptic,Dystric,Maasterrassen,3.337682112,0.3715990548,0.0198564237,-0.6967629749,-1.23401303,34,29,87,15,15,22,1907,16485,2202,289772,291914
p53446e5_10_30,P53446e5,CMON_P53446e5,45960,2023-05-26,INBO,240205,207175,34.73,14411,2,Natuur,0,Natuur,grassen_ pitrus_ veldzuring_ haarmos,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,0.39,NA,0.028,4.2,1.65,12.86,0.64,0.924,0.05,13.93,15.1,24.8,5.36,16.07,78.57,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,t-Pec,t-Pec,Pec,Natte licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,e,c,Kempen,Dystric Gleyic Retisols (Loamic_ Ruptic),Retisols,RT-gl.dy,Gleyic,Dystric,NA,Endogleyic,Loamic,Ruptic,Dystric,Maasterrassen,3.337682112,0.3715990548,0.0198564237,-0.6967629749,-1.23401303,16,NA,NA,4,12,17,NA,NA,616,917676,923786
p54d2489_0_10,P54d2489,CMON_P54d2489,0-10,2022-02-23,ILVO,191525,206485,22.14,2835,4,Akkerland,0,Akker,groenbemester,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.81,NA,0.148,5.4,1.46,26.34,2.63,2.15,0.22,12.25,22.9,33.4,12.28,32.9,54.82,Normaal,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,Zcm,Zcm,Zcm,Matig droge zandbodem met dikke antropogene humus A horizont,Z,c,m,Kempen,Plaggic Anthrosols (Arenic),Anthrosols,AT-pa,Plaggic,NA,NA,NA,Arenic,NA,Dystric,Depressie van de Netes,1.492354811,-1.623332641,-0.1115741903,-0.9438785564,-0.1063490981,26,NA,NA,6,10,29,NA,NA,2194,1518980,1729112
p54d2489_10_30,P54d2489,CMON_P54d2489,45960,2022-02-23,ILVO,191525,206485,22.14,2835,4,Akkerland,0,Akker,groenbemester,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.73,NA,0.143,5.3,1.42,49.05,2.45,4.05,0.2,12.11,24.2,34.3,14.24,36.41,49.35,Normaal,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,Zcm,Zcm,Zcm,Matig droge zandbodem met dikke antropogene humus A horizont,Z,c,m,Kempen,Plaggic Anthrosols (Arenic),Anthrosols,AT-pa,Plaggic,NA,NA,NA,Arenic,NA,Dystric,Depressie van de Netes,1.492354811,-1.623332641,-0.1115741903,-0.9438785564,-0.1063490981,25,NA,NA,2,3,14,NA,NA,8551,684159,749003
pb6d4f64_0_10,Pb6d4f64,CMON_Pb6d4f64,0-10,2022-03-15,INBO,83395,163095,19.13,3633,6,Afgedekt,0,Ruimtebeslag bermen,gras_ brandnetel_ fluitenkruid_ klaver,V3 (Artificial grasslands and herb dominated habitats),Residentieel grasland,1,1,NA,0.91,NA,6.24,NA,0.268,8,0.93,49.53,4.95,2.49,0.25,19.89,35.1,32.7,10.08,56.91,33.01,Normaal,Buien (wisselvallig),Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Ldc,Ldc,Ldc,Matig natte zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,d,c,Zandleemstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Zuidelijke Vlaamse laagvlakte,0.03147069815,-0.4971615223,NA,1.238975747,3.05131406,14,NA,NA,1,30,58,NA,NA,1815,840494,1297774
p9cbcad0_0_10,P9cbcad0,CMON_P9cbcad0,0-10,2022-02-11,ILVO,55275,174645,32.98,485,4,Akkerland,0,Akker,spruiten (rest),V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,0.96,NA,0.102,6.6,1.59,15.23,1.52,1.62,0.16,9.4,22,34.9,13.62,36.67,49.71,Normaal,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,w-LhP,w-LhP,LhP,Natte zandleembodem zonder profiel of met onbepaald profiel,L,h,p+x,Zandleemstreek,Eutric Terric Stagnosols (Loamic_ Ruptic),Stagnosols,ST-tr,Terric,Eutric,NA,Stagnic,Loamic,Ruptic,Eutric,Polder-Leie interfluvium,-0.6605270395,-0.3684562516,NA,-1.47929565,-1.04262404,8,77,34,2,5,17,65841,2191,2836,292780,605102
p567b199_0_10,P567b199,CMON_P567b199,0-10,2022-12-21,ILVO,62885,205745,19.86,2916,4,Akkerland,0,Akker,tijdelijk gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.64,NA,0.141,4.8,1.38,22.59,2.26,1.94,0.19,11.64,27.6,38,10.22,23.3,66.48,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,wSdP,wSdP,SdP,Matig natte lemig zandbodem zonder profiel of met onbepaald profiel,S,d,p+x,Zandstreek,Terric Planosols (Loamic_ Ruptic),Planosols,PL-tr,Terric,NA,NA,Stagnic,Loamic,Ruptic,Eutric,West-Vlaams cuestaland,-1.044970227,1.562122809,-0.5058660324,-0.6143911144,-0.2068921144,14,16,123,3,10,19,1144,126728,466,541960,763080
p567b199_10_30,P567b199,CMON_P567b199,45960,2022-12-21,ILVO,62885,205745,19.86,2916,4,Akkerland,0,Akker,tijdelijk gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.77,NA,0.151,4.8,1.38,48.86,2.44,4.17,0.21,11.72,22.9,31.6,10.85,22.55,66.6,Normaal,Bewolkt,Neerslag maar zonder hevige buien afgelopen 24 uur,wSdP,wSdP,SdP,Matig natte lemig zandbodem zonder profiel of met onbepaald profiel,S,d,p+x,Zandstreek,Terric Planosols (Loamic_ Ruptic),Planosols,PL-tr,Terric,NA,NA,Stagnic,Loamic,Ruptic,Eutric,West-Vlaams cuestaland,-1.044970227,1.562122809,-0.5058660324,-0.6143911144,-0.2068921144,13,NA,NA,4,8,17,NA,NA,5356,418038,1422589
p574c973_0_10,P574c973,CMON_P574c973,0-10,2023-04-14,ILVO,115945,205385,3.84,3444,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,6.3,NA,10.1,NA,0.377,7.6,1.09,41.39,4.14,4.11,0.41,10.07,46.1,50.2,22.82,45.72,31.46,NA,NA,NA,sM(v),sM(v),M,Mergelbodem,M,NA,NA,Zandstreek,Calcaric Reductigleyic Histic Gleysols (Loamic_ Thaptohistic),Gleysols,GL-hi.ry.ca,Histic,Reductigleyic,Calcaric,Reductigleyic,Loamic,Thaptohistic,Calcaric,Centrale Vlaamse laagvlakte,-0.583638402,-0.4006325693,0.6770094939,0.5800008627,0.9394003461,17,NA,NA,1,5,7,NA,NA,2414,156838,171000
p574c973_10_30,P574c973,CMON_P574c973,45960,2023-04-14,ILVO,115945,205385,3.84,3444,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,6.32,NA,9.9,NA,0.368,7.7,1.05,74.98,3.75,7.71,0.39,9.73,44.4,46.6,25.41,40.85,33.74,NA,NA,NA,sM(v),sM(v),M,Mergelbodem,M,NA,NA,Zandstreek,Calcaric Reductigleyic Histic Gleysols (Loamic_ Thaptohistic),Gleysols,GL-hi.ry.ca,Histic,Reductigleyic,Calcaric,Reductigleyic,Loamic,Thaptohistic,Calcaric,Centrale Vlaamse laagvlakte,-0.583638402,-0.4006325693,0.6770094939,0.5800008627,0.9394003461,3,NA,NA,0,3,5,NA,NA,42,1027,97142
p5796575_0_10,P5796575,CMON_P5796575,0-10,2023-04-04,ILVO,57325,205255,5.53,3868,4,Akkerland,1,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.24,NA,0.117,5.5,1.28,15.85,1.59,1.5,0.15,10.57,17,21.7,4.13,8.9,86.97,NA,NA,NA,ZdP,ZdP,ZdP,Matig natte zandbodem zonder profiel of met onbepaald profiel,Z,d,p+x,Zandstreek,Gleyic Terric Cambisols (Arenic),Cambisols,CM-tr.gl,Terric,Gleyic,NA,Endogleyic,Arenic,NA,Eutric,West-Vlaams cuestaland,-0.429861127,-1.848566864,-0.9001578746,-0.202531812,-0.79228724,9,NA,NA,2,2,7,NA,NA,2854,47,1430538
p5796575_10_30,P5796575,CMON_P5796575,45960,2023-04-04,ILVO,57325,205255,5.53,3868,4,Akkerland,1,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.1,NA,0.105,5.6,1.48,32.66,1.63,3.12,0.16,10.47,19.4,28.8,3.7,9.01,87.29,NA,NA,NA,ZdP,ZdP,ZdP,Matig natte zandbodem zonder profiel of met onbepaald profiel,Z,d,p+x,Zandstreek,Gleyic Terric Cambisols (Arenic),Cambisols,CM-tr.gl,Terric,Gleyic,NA,Endogleyic,Arenic,NA,Eutric,West-Vlaams cuestaland,-0.429861127,-1.848566864,-0.9001578746,-0.202531812,-0.79228724,62,NA,NA,1,0,1,NA,NA,21222,0,4009
pc31c79e_10_30,Pc31c79e,CMON_Pc31c79e,45960,2023-02-23,ILVO,215895,157665,127.14,3566,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,0.01,NA,1.12,NA,0.11,6.8,1.33,29.56,1.48,2.93,0.15,10.09,25.2,33.5,23.73,68.65,7.62,NA,NA,NA,Aba1,Aba1,Aba,Droge leembodem met textuur B horizont,A,b,a,Leemstreek,Nudiargic Luvisols (Siltic),Luvisols,LV-ng,Nudiargic,NA,NA,NA,Siltic,NA,Eutric,Plateau van Haspengouw,-0.583638402,-0.2075746633,NA,-0.5320192539,-0.7180283117,7,NA,NA,2,7,25,NA,NA,2494,69840,1299901
